iter,x11,x10,x2,x3:B1,x3:B2,x3:B3,v
73,0.0171843476724452,0.0733823941017718,5.45652213155194e-06,5.41922087141259e-05,7.15982813754296e-05,7.51191874496106e-05,0.00326956650861624
62,0.020105691129154,0.0730757870860559,5.38006817963293e-06,5.47039342885553e-05,8.30432926145915e-05,6.32837805378373e-05,0.00318237909174202
262,0.0164450339191536,0.0682492373202869,4.9394972971758e-06,5.55581431470518e-05,9.2130671631912e-05,6.21993358091444e-05,0.00334119879018485
242,0.0171591542921154,0.0735934965961279,4.82795309039769e-06,5.20261671356719e-05,6.02397995095846e-05,6.25500073886718e-05,0.00319101498995421
212,0.0180922226585202,0.0791309786645468,5.17346151272095e-06,6.89881908640615e-05,7.2224612912008e-05,6.72781949402191e-05,0.00334839066187383
252,0.0178511645123692,0.0765610695324809,4.54826932172428e-06,6.78252382304995e-05,8.7682887322855e-05,6.9850958876367e-05,0.00314556429778925
441,0.0162792418527985,0.0887179404527617,4.72261498227573e-06,6.28641086108147e-05,8.36145033382128e-05,7.39973639481001e-05,0.00314765971940717
172,0.0190854303297535,0.0766863648145302,5.11677334843673e-06,5.67874609485982e-05,7.58519132045172e-05,7.21374406358462e-05,0.00316184799595907
331,0.0175658269321346,0.0705558742130201,5.09559477055711e-06,5.9114674039052e-05,8.2650580087284e-05,7.7395622893374e-05,0.00317856674937889
491,0.0183218254506326,0.0811169118586936,4.74336966639338e-06,6.28632636004249e-05,9.20335103873764e-05,7.2281412829525e-05,0.00312272794640661
272,0.0158870257162233,0.0858164701727844,4.76461744661178e-06,5.85314431966168e-05,9.63395880271979e-05,7.70833087809878e-05,0.00329057199884719
222,0.0175487532028578,0.0616621146210815,5.00100596848824e-06,4.02681166927965e-05,7.02445855497969e-05,5.04357785675399e-05,0.00331254516676878
93,0.0193907770669711,0.0680655510136197,4.87972898766792e-06,5.19614286703911e-05,8.1320447819316e-05,6.2725521401632e-05,0.00330854261641501
421,0.0176187937093895,0.0738421007150215,4.61063939600463e-06,5.57931727996309e-05,9.41244848153502e-05,6.79664683104164e-05,0.00327036963180983
461,0.0174696464050004,0.056613366031997,4.7221879134604e-06,5.04817629125794e-05,6.01449657951345e-05,4.86586238546918e-05,0.00302322560069595
183,0.0203534338125082,0.0615296245453796,5.17436624757542e-06,4.36742170036387e-05,7.25675177812865e-05,4.57279984075555e-05,0.00320213930002154
431,0.0165222424166653,0.0698458813080689,4.96191014284733e-06,5.38460891517563e-05,6.15438604164849e-05,5.78531269759106e-05,0.00336525907965829
232,0.01821768992308,0.0639461540792163,5.14070937116932e-06,4.84981300907167e-05,8.0689126984089e-05,5.83742201080381e-05,0.00333132085399131
471,0.0159148655271239,0.0711799967409118,4.89862562022134e-06,6.52086349768914e-05,7.21723289639576e-05,6.31912034033512e-05,0.0033655404497534
451,0.0199675347421878,0.0727110627434147,5.58056553065221e-06,5.59485571790574e-05,0.000100624335386593,6.98959307680814e-05,0.00343875923753892
481,0.0181991259127118,0.0662912064707058,4.75083092167066e-06,5.01715483881182e-05,6.43367499261626e-05,6.23432861207412e-05,0.00321083762703536
352,0.0196442102867323,0.0662103226796893,5.4323617346941e-06,5.64348396150362e-05,7.85775608810078e-05,6.93479654379921e-05,0.00321995243081712
401,0.0189313777048435,0.0786644301954003,5.47316438098198e-06,5.99825158105975e-05,0.00010979950535024,5.99321100644004e-05,0.00325732777509287
362,0.0173540727172899,0.0609688050254042,5.21159881405171e-06,5.54182344302427e-05,6.5957072724087e-05,6.13300355847186e-05,0.00329998830054678
411,0.017355202296957,0.0572933487171846,4.97809428254698e-06,4.82049245041658e-05,6.55214421324449e-05,5.94471721720692e-05,0.00336632830308471
53,0.0195100032776232,0.0671468559948628,4.94060282722498e-06,5.12565344660763e-05,7.71426173842136e-05,6.86688923273275e-05,0.00327469471692962
302,0.0168279357672123,0.0605949541108396,4.84678579568393e-06,4.88153326402118e-05,6.53473918227975e-05,5.99233013484386e-05,0.00317738673619335
202,0.0190429690132369,0.0618140734215849,4.68592412219713e-06,3.55864814287868e-05,8.10962444269031e-05,4.78673970525189e-05,0.00308162902721097
133,0.019661176814629,0.0693708088331819,4.70497498983694e-06,5.06411094072653e-05,5.71251502910336e-05,6.88337492185286e-05,0.00319277676352932
